sim,storage,transport_cost,coating_cost,decoating_time,peelcoating_time,A,B,C,winner
74,2.7013505606047277,111.44637544614628,9.435631298092797,10.59894398170257,19.596293136338822,22.467658078694264,28.24257814304693,24.995139639052386,A
75,7.611057560193531,56.28147497983269,15.184147439725049,8.29256790302723,18.831543960290205,20.420241242211624,23.805144308217773,25.31418954324033,A
76,8.719732442852234,104.91169824189221,14.853019551752407,16.196150895387674,23.19950083946362,28.601267823234195,34.50083266854272,33.95481747229538,A
77,3.6907749487808896,77.36766388163902,9.147656938532226,8.637650975207332,26.218479372626614,25.574920231889298,29.720111547129815,20.89320446056575,C
78,9.095222007474431,112.99358422320302,7.640769000448851,12.620003607097928,24.017597120116744,26.762567151476446,33.09438801319718,24.983384655628083,C
79,6.286723375830188,85.81083922965426,10.725644908777959,18.7217814887624,24.057631364397295,30.85710856877313,35.61915478344311,29.956981678968468,C
80,5.061320197383004,95.37730102598672,10.662029042831279,12.881607515937922,20.557806642648888,24.630442772391206,29.77890683849427,26.65613097360805,A
81,6.497265733278472,85.96449878982911,7.467351112592825,8.796381250590837,18.208746768234228,20.34091867921671,25.12643854870405,20.10380597555449,C
82,3.0206665078527677,79.01506660215135,7.217207718724713,7.535428770345717,14.210476911096945,16.83477045429511,21.012073772491632,18.31799021950918,A
83,5.319071700182827,98.4020106846431,8.83150605745926,15.335655311162188,15.857390767594879,23.132864052504708,28.451894964250577,26.70138065125809,A
84,4.888635803898224,127.19564968740097,8.912074637273308,16.9229966985937,15.642585400757905,24.047888066234403,30.774318235896818,29.97817795308576,A
85,7.052835717859731,148.49810440390445,10.762264895299333,11.830331836162776,19.91869825194148,23.503520058736168,31.457387957770873,30.13915240226034,A
86,4.997956723925292,82.46154002849798,6.863056307067011,17.249315031258703,22.22544933542406,28.654009577788507,33.1519333335078,24.79711299957309,C
87,12.837572074369906,103.14471870018882,10.97026138863639,15.778229563712314,25.880389130630597,30.10991246289527,36.229966303482456,29.866813604010588,C
88,3.837405200143601,95.63119365103775,13.414273562754765,13.877759906180552,24.532025089467336,27.944023330431925,33.013388402994586,30.03032328404348,A
89,5.330055594402874,83.92399754920919,7.837658945083836,12.329368686210138,17.657806315395224,22.32895000107024,26.924904048110914,22.61804066513476,A
90,7.344167619198924,95.75778247648475,9.045282086053769,13.130558562003689,24.669209202456265,27.537345176306637,32.87604687157079,25.348029860752533,C
91,5.973257900559365,97.71386992455822,8.85012363328787,7.716806947152446,25.63632054462829,24.572918327853824,29.90660616662369,21.621864737426,C
92,6.004195215131516,68.9442743164616,6.338909184988452,11.389104721841173,14.858620238753293,19.83598330706298,23.733511664020924,19.402676000707096,C
93,6.397288360327878,95.9745760611649,11.592405783947875,13.698962232562929,20.771738241793223,25.317966982904103,30.596492412986937,28.243004894926923,A
94,7.349234376674364,80.77487554863828,10.928367441702402,6.284653186618811,22.162882385634788,21.30252371483573,25.89246007051822,21.543713617763196,A
95,3.2945154956610834,69.88621181485354,10.385051499970329,11.28330811993962,22.205608673261914,24.663444528801023,28.40484378171828,23.31344857416048,C
96,7.156848351836812,98.31535842876298,14.632167788586166,11.703968863340783,19.23078524204832,22.96066940359274,28.413200951418645,30.166307997229087,A
97,4.1441568266716775,94.89459800013616,11.05542027090485,13.294842218072702,26.217769725512998,28.6792412957238,33.734782957730985,27.24295110763045,C
98,5.520802360102549,118.77213696782363,8.079212590825565,6.384174792114242,13.513613558753175,15.602692233911611,21.955359259310484,21.519279509493625,A
99,8.335588021216397,127.53522995742571,13.588692106027143,15.273527815219907,20.582030732483553,26.241205698468974,33.24313629793149,33.75296563070816,A
100,7.0948833031895,75.25972632518294,9.879812344823804,8.111259778174748,15.369946121404062,17.991637266385872,22.286739830384235,21.286542503155164,A
101,4.1802465406452765,86.08317876733591,13.731458094287374,14.456596417166367,15.300944944626366,22.17586090786182,26.79353833677701,30.034439773647406,A
102,8.065021008606749,69.769056237607,9.976672276360045,9.414252154241288,24.799524381277266,25.14668435701237,29.240013744538224,21.888770647438434,C
103,1.5576755511324976,98.30901587377126,11.985457967360517,15.08389570729099,23.476841014072633,28.044657814242413,33.076934274265916,29.492448406977314,A
104,5.218286492200483,74.53727011421324,17.180655710995683,14.515766841884565,12.305193367718672,20.218140139735493,24.33637513236119,32.70904318876141,A
105,7.266166522936379,87.74749409379429,9.655850970775656,10.405693753824925,17.204504136987058,20.744298593874657,25.676635787784598,23.537350523173664,A
106,4.806860716159144,120.36816039714745,10.818223665162215,10.024738388197349,13.429664382954837,17.973768514101458,24.352691087670767,26.76933765622113,A
107,5.258416163313519,71.95163658034292,14.202871281617181,15.638596478745463,17.633772792070996,24.51907951387764,28.511042555143298,30.287895819138882,A
108,6.791343534456484,103.74084718246866,7.812815807316143,11.891010479487099,19.142530109549327,23.02652705935762,28.72292018356529,23.860286842382184,A
109,3.8925037010208507,54.13595946294804,13.991146258700514,14.34565957149391,12.255313288878865,20.07148190691518,23.070217657639148,27.809741451135263,A
110,3.47020372747828,115.68806342755417,14.45123484047734,9.936404523049852,21.889649236619555,23.55486917311294,29.599537624051518,29.925619465951055,A
111,5.112522829216047,68.05722044231824,9.212344157278503,10.430684842251178,18.516750581969106,21.635790282813524,25.42209051712064,21.52605172674729,C
112,4.20204851431855,111.59596992053167,13.952884084407952,10.252606529962977,18.751498115539896,21.67356976366858,27.568521898269054,29.36775527413907,A
113,6.561873615052004,136.4540784033542,15.994647042017363,13.024554995465394,17.262704691138453,22.5290064577359,29.84385089903251,35.23983326666512,A
114,6.564015890843968,111.18267473527315,7.418571773715647,15.444738665777653,17.681615203771056,24.42173591303247,30.473170841609427,26.3819656172551,A
115,6.612346515171123,127.27553680695897,9.231786994021492,10.311253215417036,19.168184769270734,21.990458656458514,28.850161485444296,25.982238390579994,A
116,7.051420964290305,91.54933295998018,6.178220430854353,11.250271804141798,14.23090679834998,19.324952401661186,24.431275621981968,20.89717265382858,A
117,6.687734030306579,71.3857441638563,7.084774296217471,16.421688208610092,20.548327885363367,26.984177395982307,31.055044656448114,23.72088394909542,C
118,5.8294851456241465,69.1427865326861,10.69740971929534,10.71606672021142,16.008064260798257,20.153587320673118,24.047938033229237,23.31863744666895,A
119,3.4891881424256637,88.70303975573692,9.162614656940672,9.51992606209041,25.351363480623228,25.585026361809092,30.281867460277862,22.336419420469166,C
120,1.9851926791269032,69.6798564691088,12.549553016136532,7.590741925825055,21.072017910008093,21.4460065572221,25.078888831612055,22.93529650249274,A
121,6.256455895140164,99.56433241363645,10.384241408536129,11.492122655920396,27.87766932517051,28.584027987393934,34.03147880021127,25.8258042382628,C
122,6.987317983747768,57.819533726489794,12.59846763129288,9.698787474668169,15.0616524128009,18.844459924979382,22.259485460084953,23.75015687641245,A
123,7.082684027796018,69.60591810114548,14.282956923800908,7.156733204524546,22.595102666949572,22.17205724764941,26.183554454791384,24.62869045245965,A
124,3.454149679750609,113.84385086956954,14.81760488163249,14.277333803761124,20.62437569166202,25.605306330282094,31.556560099741866,33.04682371667849,A
